"mon_year"	"category"	"n"
"-"	NA	1
"Apr-2004"	1	198
"Apr-2004"	2	38
"Apr-2004"	3	21
"Apr-2004"	4	25
"Apr-2004"	5	16
"Apr-2004"	6	10
"Apr-2004"	7	37
"Apr-2004"	8	14
"Apr-2004"	9	10
"Apr-2004"	10	27
"Apr-2004"	11	24
"Apr-2004"	12	14
"Apr-2004"	13	24
"Apr-2004"	14	9
"Apr-2004"	15	68
"Apr-2004"	16	5
"Apr-2004"	17	3
"Apr-2004"	18	11
"Apr-2004"	19	10
"Apr-2004"	20	9
"Apr-2005"	1	246
"Apr-2005"	2	82
"Apr-2005"	3	69
"Apr-2005"	4	76
"Apr-2005"	5	41
"Apr-2005"	6	37
"Apr-2005"	7	88
"Apr-2005"	8	23
"Apr-2005"	9	32
"Apr-2005"	10	87
"Apr-2005"	11	35
"Apr-2005"	12	39
"Apr-2005"	13	39
"Apr-2005"	14	43
"Apr-2005"	15	149
"Apr-2005"	16	16
"Apr-2005"	17	12
"Apr-2005"	18	25
"Apr-2005"	19	33
"Apr-2005"	20	19
"Apr-2006"	1	270
"Apr-2006"	2	71
"Apr-2006"	3	46
"Apr-2006"	4	72
"Apr-2006"	5	60
"Apr-2006"	6	29
"Apr-2006"	7	82
"Apr-2006"	8	28
"Apr-2006"	9	25
"Apr-2006"	10	70
"Apr-2006"	11	23
"Apr-2006"	12	43
"Apr-2006"	13	22
"Apr-2006"	14	34
"Apr-2006"	15	100
"Apr-2006"	16	15
"Apr-2006"	17	19
"Apr-2006"	18	19
"Apr-2006"	19	38
"Apr-2006"	20	26
"Apr-2007"	1	248
"Apr-2007"	2	83
"Apr-2007"	3	70
"Apr-2007"	4	90
"Apr-2007"	5	51
"Apr-2007"	6	37
"Apr-2007"	7	95
"Apr-2007"	8	24
"Apr-2007"	9	37
"Apr-2007"	10	98
"Apr-2007"	11	28
"Apr-2007"	12	53
"Apr-2007"	13	40
"Apr-2007"	14	74
"Apr-2007"	15	123
"Apr-2007"	16	17
"Apr-2007"	17	10
"Apr-2007"	18	32
"Apr-2007"	19	36
"Apr-2007"	20	34
"Apr-2008"	1	191
"Apr-2008"	2	64
"Apr-2008"	3	52
"Apr-2008"	4	87
"Apr-2008"	5	35
"Apr-2008"	6	33
"Apr-2008"	7	98
"Apr-2008"	8	17
"Apr-2008"	9	30
"Apr-2008"	10	70
"Apr-2008"	11	28
"Apr-2008"	12	60
"Apr-2008"	13	24
"Apr-2008"	14	68
"Apr-2008"	15	92
"Apr-2008"	16	11
"Apr-2008"	17	10
"Apr-2008"	18	28
"Apr-2008"	19	37
"Apr-2008"	20	43
"Apr-2009"	1	296
"Apr-2009"	2	95
"Apr-2009"	3	88
"Apr-2009"	4	138
"Apr-2009"	5	66
"Apr-2009"	6	39
"Apr-2009"	7	128
"Apr-2009"	8	27
"Apr-2009"	9	53
"Apr-2009"	10	129
"Apr-2009"	11	27
"Apr-2009"	12	100
"Apr-2009"	13	60
"Apr-2009"	14	121
"Apr-2009"	15	176
"Apr-2009"	16	25
"Apr-2009"	17	28
"Apr-2009"	18	38
"Apr-2009"	19	52
"Apr-2009"	20	62
"Apr-2010"	1	224
"Apr-2010"	2	69
"Apr-2010"	3	75
"Apr-2010"	4	115
"Apr-2010"	5	45
"Apr-2010"	6	47
"Apr-2010"	7	103
"Apr-2010"	8	23
"Apr-2010"	9	49
"Apr-2010"	10	98
"Apr-2010"	11	31
"Apr-2010"	12	74
"Apr-2010"	13	32
"Apr-2010"	14	129
"Apr-2010"	15	115
"Apr-2010"	16	25
"Apr-2010"	17	11
"Apr-2010"	18	43
"Apr-2010"	19	39
"Apr-2010"	20	53
"Apr-2011"	1	135
"Apr-2011"	2	54
"Apr-2011"	3	57
"Apr-2011"	4	107
"Apr-2011"	5	36
"Apr-2011"	6	37
"Apr-2011"	7	72
"Apr-2011"	8	25
"Apr-2011"	9	40
"Apr-2011"	10	82
"Apr-2011"	11	22
"Apr-2011"	12	49
"Apr-2011"	13	29
"Apr-2011"	14	72
"Apr-2011"	15	100
"Apr-2011"	16	22
"Apr-2011"	17	12
"Apr-2011"	18	22
"Apr-2011"	19	29
"Apr-2011"	20	33
"Apr-2012"	1	123
"Apr-2012"	2	46
"Apr-2012"	3	43
"Apr-2012"	4	92
"Apr-2012"	5	39
"Apr-2012"	6	29
"Apr-2012"	7	79
"Apr-2012"	8	14
"Apr-2012"	9	36
"Apr-2012"	10	83
"Apr-2012"	11	24
"Apr-2012"	12	51
"Apr-2012"	13	32
"Apr-2012"	14	109
"Apr-2012"	15	108
"Apr-2012"	16	24
"Apr-2012"	17	6
"Apr-2012"	18	51
"Apr-2012"	19	41
"Apr-2012"	20	34
"Apr-2013"	1	40
"Apr-2013"	2	24
"Apr-2013"	3	26
"Apr-2013"	4	35
"Apr-2013"	5	11
"Apr-2013"	6	20
"Apr-2013"	7	37
"Apr-2013"	8	2
"Apr-2013"	9	9
"Apr-2013"	10	40
"Apr-2013"	11	12
"Apr-2013"	12	11
"Apr-2013"	13	15
"Apr-2013"	14	50
"Apr-2013"	15	39
"Apr-2013"	16	7
"Apr-2013"	17	3
"Apr-2013"	18	7
"Apr-2013"	19	5
"Apr-2013"	20	14
"Apr-2014"	1	80
"Apr-2014"	2	52
"Apr-2014"	3	73
"Apr-2014"	4	93
"Apr-2014"	5	29
"Apr-2014"	6	20
"Apr-2014"	7	68
"Apr-2014"	8	20
"Apr-2014"	9	29
"Apr-2014"	10	69
"Apr-2014"	11	25
"Apr-2014"	12	38
"Apr-2014"	13	26
"Apr-2014"	14	89
"Apr-2014"	15	93
"Apr-2014"	16	11
"Apr-2014"	17	3
"Apr-2014"	18	48
"Apr-2014"	19	26
"Apr-2014"	20	33
"Aug-2004"	1	234
"Aug-2004"	2	35
"Aug-2004"	3	29
"Aug-2004"	4	36
"Aug-2004"	5	30
"Aug-2004"	6	30
"Aug-2004"	7	36
"Aug-2004"	8	9
"Aug-2004"	9	10
"Aug-2004"	10	19
"Aug-2004"	11	40
"Aug-2004"	12	16
"Aug-2004"	13	16
"Aug-2004"	14	17
"Aug-2004"	15	81
"Aug-2004"	16	11
"Aug-2004"	17	6
"Aug-2004"	18	11
"Aug-2004"	19	24
"Aug-2004"	20	28
"Aug-2005"	1	351
"Aug-2005"	2	92
"Aug-2005"	3	70
"Aug-2005"	4	76
"Aug-2005"	5	54
"Aug-2005"	6	38
"Aug-2005"	7	121
"Aug-2005"	8	39
"Aug-2005"	9	27
"Aug-2005"	10	102
"Aug-2005"	11	30
"Aug-2005"	12	57
"Aug-2005"	13	29
"Aug-2005"	14	57
"Aug-2005"	15	141
"Aug-2005"	16	34
"Aug-2005"	17	12
"Aug-2005"	18	30
"Aug-2005"	19	52
"Aug-2005"	20	50
"Aug-2007"	1	255
"Aug-2007"	2	96
"Aug-2007"	3	67
"Aug-2007"	4	100
"Aug-2007"	5	51
"Aug-2007"	6	39
"Aug-2007"	7	108
"Aug-2007"	8	28
"Aug-2007"	9	39
"Aug-2007"	10	80
"Aug-2007"	11	35
"Aug-2007"	12	53
"Aug-2007"	13	29
"Aug-2007"	14	80
"Aug-2007"	15	125
"Aug-2007"	16	22
"Aug-2007"	17	7
"Aug-2007"	18	28
"Aug-2007"	19	33
"Aug-2007"	20	45
"Aug-2008"	1	180
"Aug-2008"	2	59
"Aug-2008"	3	50
"Aug-2008"	4	74
"Aug-2008"	5	55
"Aug-2008"	6	26
"Aug-2008"	7	80
"Aug-2008"	8	19
"Aug-2008"	9	36
"Aug-2008"	10	71
"Aug-2008"	11	25
"Aug-2008"	12	46
"Aug-2008"	13	30
"Aug-2008"	14	67
"Aug-2008"	15	101
"Aug-2008"	16	19
"Aug-2008"	17	6
"Aug-2008"	18	24
"Aug-2008"	19	34
"Aug-2008"	20	31
"Aug-2009"	1	147
"Aug-2009"	2	68
"Aug-2009"	3	49
"Aug-2009"	4	85
"Aug-2009"	5	48
"Aug-2009"	6	34
"Aug-2009"	7	87
"Aug-2009"	8	22
"Aug-2009"	9	38
"Aug-2009"	10	74
"Aug-2009"	11	23
"Aug-2009"	12	43
"Aug-2009"	13	23
"Aug-2009"	14	79
"Aug-2009"	15	117
"Aug-2009"	16	11
"Aug-2009"	17	3
"Aug-2009"	18	28
"Aug-2009"	19	31
"Aug-2009"	20	26
"Aug-2010"	1	76
"Aug-2010"	2	34
"Aug-2010"	3	33
"Aug-2010"	4	39
"Aug-2010"	5	28
"Aug-2010"	6	16
"Aug-2010"	7	52
"Aug-2010"	8	13
"Aug-2010"	9	19
"Aug-2010"	10	48
"Aug-2010"	11	14
"Aug-2010"	12	32
"Aug-2010"	13	28
"Aug-2010"	14	65
"Aug-2010"	15	70
"Aug-2010"	16	11
"Aug-2010"	17	3
"Aug-2010"	18	18
"Aug-2010"	19	22
"Aug-2010"	20	18
"Aug-2011"	1	180
"Aug-2011"	2	71
"Aug-2011"	3	78
"Aug-2011"	4	127
"Aug-2011"	5	37
"Aug-2011"	6	43
"Aug-2011"	7	109
"Aug-2011"	8	27
"Aug-2011"	9	44
"Aug-2011"	10	99
"Aug-2011"	11	33
"Aug-2011"	12	74
"Aug-2011"	13	38
"Aug-2011"	14	117
"Aug-2011"	15	150
"Aug-2011"	16	28
"Aug-2011"	17	7
"Aug-2011"	18	44
"Aug-2011"	19	37
"Aug-2011"	20	44
"Aug-2012"	1	122
"Aug-2012"	2	53
"Aug-2012"	3	61
"Aug-2012"	4	87
"Aug-2012"	5	47
"Aug-2012"	6	18
"Aug-2012"	7	82
"Aug-2012"	8	15
"Aug-2012"	9	39
"Aug-2012"	10	87
"Aug-2012"	11	23
"Aug-2012"	12	55
"Aug-2012"	13	32
"Aug-2012"	14	93
"Aug-2012"	15	71
"Aug-2012"	16	15
"Aug-2012"	17	3
"Aug-2012"	18	34
"Aug-2012"	19	29
"Aug-2012"	20	29
"Aug-2013"	1	34
"Aug-2013"	2	20
"Aug-2013"	3	22
"Aug-2013"	4	25
"Aug-2013"	5	17
"Aug-2013"	6	9
"Aug-2013"	7	31
"Aug-2013"	8	13
"Aug-2013"	9	17
"Aug-2013"	10	33
"Aug-2013"	11	6
"Aug-2013"	12	16
"Aug-2013"	13	7
"Aug-2013"	14	47
"Aug-2013"	15	42
"Aug-2013"	16	7
"Aug-2013"	17	3
"Aug-2013"	18	15
"Aug-2013"	19	11
"Aug-2013"	20	15
"Aug-2014"	1	12
"Aug-2014"	2	8
"Aug-2014"	3	8
"Aug-2014"	4	13
"Aug-2014"	5	2
"Aug-2014"	6	3
"Aug-2014"	7	7
"Aug-2014"	8	3
"Aug-2014"	9	2
"Aug-2014"	10	13
"Aug-2014"	12	7
"Aug-2014"	13	4
"Aug-2014"	14	15
"Aug-2014"	15	10
"Aug-2014"	16	3
"Aug-2014"	18	3
"Aug-2014"	19	4
"Aug-2014"	20	8
"Dec-2003"	1	134
"Dec-2003"	2	29
