"mon_year"	"category"	"n"
"Apr-2004"	"clothing, beauty, & fashion"	11
"Apr-2004"	"computers & internet"	198
"Apr-2004"	"education"	10
"Apr-2004"	"food & drink"	14
"Apr-2004"	"grab bag"	9
"Apr-2004"	"health & fitness"	27
"Apr-2004"	"home & garden"	21
"Apr-2004"	"human relations"	9
"Apr-2004"	"law & government"	10
"Apr-2004"	"media & arts"	68
"Apr-2004"	"pets & animals"	5
"Apr-2004"	"religion & philosophy"	3
"Apr-2004"	"science & nature"	14
"Apr-2004"	"shopping"	24
"Apr-2004"	"society & culture"	10
"Apr-2004"	"sports, hobbies, & recreation"	16
"Apr-2004"	"technology"	38
"Apr-2004"	"travel & transportation"	37
"Apr-2004"	"work & money"	25
"Apr-2004"	"writing & language"	24
"Apr-2005"	"clothing, beauty, & fashion"	25
"Apr-2005"	"computers & internet"	246
"Apr-2005"	"education"	32
"Apr-2005"	"food & drink"	39
"Apr-2005"	"grab bag"	19
"Apr-2005"	"health & fitness"	87
"Apr-2005"	"home & garden"	69
"Apr-2005"	"human relations"	43
"Apr-2005"	"law & government"	33
"Apr-2005"	"media & arts"	149
"Apr-2005"	"pets & animals"	16
"Apr-2005"	"religion & philosophy"	12
"Apr-2005"	"science & nature"	23
"Apr-2005"	"shopping"	35
"Apr-2005"	"society & culture"	37
"Apr-2005"	"sports, hobbies, & recreation"	41
"Apr-2005"	"technology"	82
"Apr-2005"	"travel & transportation"	88
"Apr-2005"	"work & money"	76
"Apr-2005"	"writing & language"	39
"Apr-2006"	"clothing, beauty, & fashion"	19
"Apr-2006"	"computers & internet"	270
"Apr-2006"	"education"	25
"Apr-2006"	"food & drink"	43
"Apr-2006"	"grab bag"	26
"Apr-2006"	"health & fitness"	70
"Apr-2006"	"home & garden"	46
"Apr-2006"	"human relations"	34
"Apr-2006"	"law & government"	38
"Apr-2006"	"media & arts"	100
"Apr-2006"	"pets & animals"	15
"Apr-2006"	"religion & philosophy"	19
"Apr-2006"	"science & nature"	28
"Apr-2006"	"shopping"	23
"Apr-2006"	"society & culture"	29
"Apr-2006"	"sports, hobbies, & recreation"	60
"Apr-2006"	"technology"	71
"Apr-2006"	"travel & transportation"	82
"Apr-2006"	"work & money"	72
"Apr-2006"	"writing & language"	22
"Apr-2007"	"clothing, beauty, & fashion"	32
"Apr-2007"	"computers & internet"	248
"Apr-2007"	"education"	37
"Apr-2007"	"food & drink"	53
"Apr-2007"	"grab bag"	34
"Apr-2007"	"health & fitness"	98
"Apr-2007"	"home & garden"	70
"Apr-2007"	"human relations"	74
"Apr-2007"	"law & government"	36
"Apr-2007"	"media & arts"	123
"Apr-2007"	"pets & animals"	17
"Apr-2007"	"religion & philosophy"	10
"Apr-2007"	"science & nature"	24
"Apr-2007"	"shopping"	28
"Apr-2007"	"society & culture"	37
"Apr-2007"	"sports, hobbies, & recreation"	51
"Apr-2007"	"technology"	83
"Apr-2007"	"travel & transportation"	95
"Apr-2007"	"work & money"	90
"Apr-2007"	"writing & language"	40
"Apr-2008"	"clothing, beauty, & fashion"	28
"Apr-2008"	"computers & internet"	191
"Apr-2008"	"education"	30
"Apr-2008"	"food & drink"	60
"Apr-2008"	"grab bag"	43
"Apr-2008"	"health & fitness"	70
"Apr-2008"	"home & garden"	52
"Apr-2008"	"human relations"	68
"Apr-2008"	"law & government"	37
"Apr-2008"	"media & arts"	92
"Apr-2008"	"pets & animals"	11
"Apr-2008"	"religion & philosophy"	10
"Apr-2008"	"science & nature"	17
"Apr-2008"	"shopping"	28
"Apr-2008"	"society & culture"	33
"Apr-2008"	"sports, hobbies, & recreation"	35
"Apr-2008"	"technology"	64
"Apr-2008"	"travel & transportation"	98
"Apr-2008"	"work & money"	87
"Apr-2008"	"writing & language"	24
"Apr-2009"	"clothing, beauty, & fashion"	38
"Apr-2009"	"computers & internet"	296
"Apr-2009"	"education"	53
"Apr-2009"	"food & drink"	100
"Apr-2009"	"grab bag"	62
"Apr-2009"	"health & fitness"	129
"Apr-2009"	"home & garden"	88
"Apr-2009"	"human relations"	121
"Apr-2009"	"law & government"	52
"Apr-2009"	"media & arts"	176
"Apr-2009"	"pets & animals"	25
"Apr-2009"	"religion & philosophy"	28
"Apr-2009"	"science & nature"	27
"Apr-2009"	"shopping"	27
"Apr-2009"	"society & culture"	39
"Apr-2009"	"sports, hobbies, & recreation"	66
"Apr-2009"	"technology"	95
"Apr-2009"	"travel & transportation"	128
"Apr-2009"	"work & money"	138
"Apr-2009"	"writing & language"	60
"Apr-2010"	"clothing, beauty, & fashion"	43
"Apr-2010"	"computers & internet"	224
"Apr-2010"	"education"	49
"Apr-2010"	"food & drink"	74
"Apr-2010"	"grab bag"	53
"Apr-2010"	"health & fitness"	98
"Apr-2010"	"home & garden"	75
"Apr-2010"	"human relations"	129
"Apr-2010"	"law & government"	39
"Apr-2010"	"media & arts"	115
"Apr-2010"	"pets & animals"	25
"Apr-2010"	"religion & philosophy"	11
"Apr-2010"	"science & nature"	23
"Apr-2010"	"shopping"	31
"Apr-2010"	"society & culture"	47
"Apr-2010"	"sports, hobbies, & recreation"	45
"Apr-2010"	"technology"	69
"Apr-2010"	"travel & transportation"	103
"Apr-2010"	"work & money"	115
"Apr-2010"	"writing & language"	32
"Apr-2011"	"clothing, beauty, & fashion"	22
"Apr-2011"	"computers & internet"	135
"Apr-2011"	"education"	40
"Apr-2011"	"food & drink"	49
"Apr-2011"	"grab bag"	33
"Apr-2011"	"health & fitness"	82
"Apr-2011"	"home & garden"	57
"Apr-2011"	"human relations"	72
"Apr-2011"	"law & government"	29
"Apr-2011"	"media & arts"	100
"Apr-2011"	"pets & animals"	22
"Apr-2011"	"religion & philosophy"	12
"Apr-2011"	"science & nature"	25
"Apr-2011"	"shopping"	22
"Apr-2011"	"society & culture"	37
"Apr-2011"	"sports, hobbies, & recreation"	36
"Apr-2011"	"technology"	54
"Apr-2011"	"travel & transportation"	72
"Apr-2011"	"work & money"	107
"Apr-2011"	"writing & language"	29
"Apr-2012"	"clothing, beauty, & fashion"	51
"Apr-2012"	"computers & internet"	123
"Apr-2012"	"education"	36
"Apr-2012"	"food & drink"	51
"Apr-2012"	"grab bag"	34
"Apr-2012"	"health & fitness"	83
"Apr-2012"	"home & garden"	43
"Apr-2012"	"human relations"	109
"Apr-2012"	"law & government"	41
"Apr-2012"	"media & arts"	108
"Apr-2012"	"pets & animals"	24
"Apr-2012"	"religion & philosophy"	6
"Apr-2012"	"science & nature"	14
"Apr-2012"	"shopping"	24
